Cenario 0 S(t),Cenario 0 I(t),Cenario 0 R(t),Cenario 0 D(t),Cenario 1 S(t),Cenario 1 I(t),Cenario 1 R(t),Cenario 1 D(t),Cenario 2 S(t),Cenario 2 I(t),Cenario 2 R(t),Cenario 2 D(t),tempo(t)
067.8344731956,003.8084794996,000.3570473048,000.0071409461,067.8344731956,003.8084794996,000.3570473048,000.0071409461,067.8344731956,003.8084794996,000.3570473048,000.0071409461,011.2000
067.8086385755,003.8299863020,000.3613751225,000.0072275024,067.8086385755,003.8299863020,000.3613751225,000.0072275024,067.8086385755,003.8299863020,000.3613751225,000.0072275024,011.3000
067.7826679598,003.8516046606,000.3657273796,000.0073145476,067.7826679598,003.8516046606,000.3657273796,000.0073145476,067.7826679598,003.8516046606,000.3657273796,000.0073145476,011.4000
067.7565607558,003.8733350411,000.3701042031,000.0074020841,067.7565607558,003.8733350411,000.3701042031,000.0074020841,067.7565607558,003.8733350411,000.3701042031,000.0074020841,011.5000
067.7303163697,003.8951779101,000.3745057202,000.0074901144,067.7303163697,003.8951779101,000.3745057202,000.0074901144,067.7303163697,003.8951779101,000.3745057202,000.0074901144,011.6000
067.7039342065,003.9171337348,000.3789320587,000.0075786412,067.7039342065,003.9171337348,000.3789320587,000.0075786412,067.7039342065,003.9171337348,000.3789320587,000.0075786412,011.7000
067.6774136701,003.9392029829,000.3833833471,000.0076676669,067.6774136701,003.9392029829,000.3833833471,000.0076676669,067.6774136701,003.9392029829,000.3833833471,000.0076676669,011.8000
067.6507541631,003.9613861228,000.3878597141,000.0077571943,067.6507541631,003.9613861228,000.3878597141,000.0077571943,067.6507541631,003.9613861228,000.3878597141,000.0077571943,011.9000
067.6239550872,003.9836836236,000.3923612892,000.0078472258,067.6239550872,003.9836836236,000.3923612892,000.0078472258,067.6239550872,003.9836836236,000.3923612892,000.0078472258,012.0000
067.5970158430,004.0060959546,000.3968882024,000.0079377640,067.5970158430,004.0060959546,000.3968882024,000.0079377640,067.5970158430,004.0060959546,000.3968882024,000.0079377640,012.1000
067.5699358298,004.0286235860,000.4014405842,000.0080288117,067.5699358298,004.0286235860,000.4014405842,000.0080288117,067.5699358298,004.0286235860,000.4014405842,000.0080288117,012.2000
067.5427144461,004.0512669884,000.4060185655,000.0081203713,067.5427144461,004.0512669884,000.4060185655,000.0081203713,067.5427144461,004.0512669884,000.4060185655,000.0081203713,012.3000
067.5153510891,004.0740266328,000.4106222780,000.0082124456,067.5153510891,004.0740266328,000.4106222780,000.0082124456,067.5153510891,004.0740266328,000.4106222780,000.0082124456,012.4000
